NM_DOCENTE,GENERO
EVERALDO VANDERLEI DE OLIVEIRA,Male
OLIVER TOLLE,Male
CONSTANCA TEREZINHA MARCONDES CESAR,Female
EVALDO BECKER,Male
ROMERO JUNIOR VENANCIO SILVA,Male
CICERO CUNHA BEZERRA,Male
RODRIGO JUNGMANN DE CASTRO,Male
MARCO AURELIO OLIVEIRA DA SILVA,Male
VINCENZO DI MATTEO,Male
JUNOT CORNÉLIO MATOS,Male
JUAN ADOLFO BONACCINI,Male
LUIZ VICENTE VIEIRA,Male
MARCELO LUIZ PELIZZOLI,Male
RICHARD ROMEIRO OLIVEIRA,Male
MARCOS ROBERTO NUNES COSTA,Male
THIAGO ANDRÉ MOURA DE AQUINO,Male
SANDRO MÁRCIO MOURA DE SENA,Male
ANASTÁCIO BORGES DE ARAÚJO JÚNIOR,NA
SANDRO COZZA SAYÃO,Male
ÉRICO ANDRADE MARQUES DE OLIVEIRA,NA
ALFREDO DE OLIVEIRA MORAES,Male
WASHINGTON LUIZ MARTINS DA SILVA,Male
TARIK DE ATHAYDE PRATA,Male
FERNANDO RAUL DE ASSIS NETO,Male
JESUS VÁZQUEZ TORRES,Male
GIOVANNI DA SILVA DE QUEIROZ,Male
FERNANDO JADER DE MAGALHÃES MELO,Male
WITOLD SKWARA,NA
MATIAS FRANCISCO DIAS,Male
ANDRE JOFFILY ABATH,Male
RICARDO SOUSA SILVESTRE,Male
ANDERSON D'ARC FERREIRA,Male
EDRISI DE ARAUJO FERNANDES,NA
RODRIGO RIBEIRO ALVES NETO,Male
SERGIO LUIS PERSCH,Male
ANDRÉ LECLERC,NA
GIUSEPPE TOSI,Male
GLENN WALTER ERICKSON,Male
CLAUDIO FERREIRA COSTA,Male
JOSÉ GABRIEL TRINDADE SANTOS,NA
MARCONI JOSÉ PIMENTEL PEQUENO,Male
ANTONIO RUFINO VIEIRA,Male
EDMILSON ALVES DE AZEVEDO,Male
IRAQUITAN DE OLIVEIRA CAMINHA,Male
OSCAR FEDERICO BAUCHWITZ,Male
DEYVE REDYSON MELO DOS SANTOS,Male
BARTOLOMEU LEITE DA SILVA,Male
ABRAHÃO COSTA ANDRADE,NA
NARBAL DE MARSILLAC FONTES,Male
JOSÉ EDUARDO DE ALMEIDA MOURA,NA
MARIA CRISTINA LONGO CARDOSO DIAS,Female
ROBSON COSTA CORDEIRO,Male
CINARA MARIA LEITE NAHRA,Female
MARKUS FIGUEIRA DA SILVA,Male
JESUS VAZQUEZ TORRES,Male
PAULO TARSO CABRAL DE MEDEIROS,Male
MIGUEL ANTONIO DO NASCIMENTO,Male
GISELE AMARAL DOS SANTOS,Female
CÍCERO CUNHA BEZERRA,NA
ANA THEREZA DE MIRANDA CORDEIRO DÜRMAIER,Female
ANA LÊDA DE ARAÚJO,Female
CANDIDA JACI DE SOUSA MELO,Female
BRUNO RAFAELO LOPES VAZ,Male
SERGIO LUIS RIZZO DELA SAVIA,Male
EDUARDO ANIBAL PELLEJERO,Male
JOAO MARCOS DE ALMEIDA,Male
DANIEL ARRUDA NASCIMENTO,Male
MONALISA CARRILHO DE MACEDO,Female
MARIA DA PAZ NUNES DE MEDEIROS,Female
FERNANDA MACHADO DE BULHOES,Female
DANIEL DURANTE PEREIRA ALVES,Male
ANTONIO VIEIRA DA SILVA FILHO,Male
JOSÉ RÔMULO SOARES,NA
RUY DE CARVALHO RODRIGUES JUNIOR,Male
ANTONIO GLAUDENIR BRASIL MAIA,Male
LUIS ALEXANDRE DIAS DO CARMO,Male
ILANA VIANA DO AMARAL,Female
JOSÉ EXPEDITO PASSOS LIMA,NA
FRANCISCO JOSÉ SOARES TEIXEIRA,Male
ALESSANDRO RODRIGUES PIMENTA,Male
LUIZIR DE OLIVEIRA,Male
ALDIR ARAÚJO CARVALHO FILHO,Male
ZORAIDA MARIA LOPES FEITOSA,Female
JOÃO EMILIANO FORTALEZA DE AQUINO,NA
EMANUEL ANGELO DA ROCHA FRAGOSO,Male
REGENALDO RODRIGUES DA COSTA,Male
MARIA TEREZINHA DE CASTRO CALLADO,Female
JAN GERARD JOSEPH TER REEGEN,Male
EDUARDO JORGE OLIVEIRA TRIANDOPOLIS,Male
MARLY CARVALHO SOARES,Female
HELDER BUENOS AIRES DE CARVALHO,Male
EMERSON CARLOS VALCARENGHI,Male
CUSTÓDIO LUIS SILVA DE ALMEIDA,NA
ODÍLIO ALVES AGUIAR,NA
IVANHOÉ ALBUQUERQUE LEAL,NA
ALÍPIO DE SOUSA FILHO,NA
ÁTILA AMARAL BRILHANTE,NA
MARCEL FRANZ OTTO NIQUET,Male
ANDREA VESTRUCCI,Female
LUIZ FELIPE NETTO DE ANDRADE E SILVA SAHD,Male
FERNANDO RIBEIRO DE MORAES BARROS,Male
JOSÉ CARLOS SILVA DE ALMEIDA,NA
EVANILDO COSTESKI,Male
KONRAD CHRISTOPH UTZ,Male
DILMAR SANTOS DE MIRANDA,NA
EDUARDO FERREIRA CHAGAS,Male
KLEBER CARNEIRO AMORA,Male
JOVELINA MARIA RAMOS DE SOUZA,Female
NELSON JOSÉ DE SOUZA JUNIOR,Male
MAURICIO RODRIGUES DE SOUZA,Male
MARIA APARECIDA DE PAIVA MONTENEGRO,Female
GERSON ALBUQUERQUE DE ARAÚJO NETO,Male
ALMIR FERREIRA DA SILVA JÚNIOR,Male
ROSARIO PECORARO,NA
ELNÔRA MARIA GONDIM MACHADO LIMA,NA
ROBERTO DE ALMEIDA PEREIRA DE BARROS,Male
LUÍS EDUARDO RAMOS DE SOUZA,NA
AGOSTINHO DE FREITAS MEIRELLES,Male
ELIZABETH DE ASSIS DIAS,Female
ERNANI PINHEIRO CHAVES,Male
EMANUEL RICARDO GERMANO NUNES,Male
GUILHERME GHISONI DA SILVA,Male
FERNANDO HERREN FERNANDES AGUILLAR,Male
CECÍLIA MARIA PINTO PIRES,NA
RAFAEL CAPURRO,Male
MARIA VALDEREZ DE COLLETES NEGREIROS,Female
ANTONIO SERGIO DA COSTA NUNES,Male
MARIA CLÁUDIA CABRINI GRÁCIO,Female
ALESSANDRA VANNUCCI,Female
ELIAS HUMBERTO ALVES,Male
CARLOS EDUARDO UCHÔA FAGUNDES JÚNIOR,Male
MAURICIO CARDOSO KEINERT,Male
OSWALDO PORCHAT DE ASSIS PEREIRA DA SILVA,Male
JOÃO PAULO GOMES MONTEIRO,NA
ADRIANY FERREIRA DE MENDONÇA,Female
MARIA CELESTE DE SOUSA,Female
INACIO REINALDO STRIEDER,Male
JOSÉ ANTONIO SAJA RAMOS NEVES DOS SANTOS,NA
ABEL REBOUCAS SAO JOSE,Male
NELSON MATOS DE NORONHA,Male
MARKUS GABRIEL,Male
CÉZAR LUÍS SEIBT,NA
JORGE ADRIANO LUBENOW,Male
MARIA CRISTINA DE TAVORA SPARANO,Female
JOSÉ SÉRGIO DUARTE DA FONSECA,NA
LUCIANO DONIZETTI DA SILVA,Male
MARIA CECILIA MARINGONI DE CARVALHO,Female
VALERIO ROHDEN,Male
CHIARA PIAZZESI,Female
MARCO ANTONIO DE ÁVILA ZINGANO,Male
JOÃOSINHO BECKENKAMP,NA
PLINIO WALDER PRADO JUNIOR,Male
TRISTAN GUILLERMO TORRIANI,Male
MÁRIO RODRIGUES VIDEIRA JUNIOR,NA
KATIA REGINA KATO JUSTI,Female
MARGIT RUFFING,Female
LAFAYETTE DE MORAES,Male
JOEL ALVES DE SOUZA,Male
LUCIANA ZATERKA,Female
OLINTO ANTONIO PEGORARO,Male
BARBARA BOTTER,Female
OSWALDO GIACOIA JÚNIOR,Male
NILO RIBEIRO JÚNIOR,Male
GERALDO LUIZ DE MORI,Male
DESIDÉRIO ORLANDO FIGUEIREDO MURCHO,NA
MÁRIO NOGUEIRA DE OLIVEIRA,NA
EMMANUEL CARNEIRO LEAO,Male
DARIO ALVES TEIXEIRA FILHO,Male
FLAVIO RENE KOTHE,Male
FÁBIO MAIA SOBRAL,NA
JULIANO FELLINI,Male
MIGUEL GALLY DE ANDRADE,Male
TEREZINHA PETRUCIA DA NOBREGA,Female
ÂNGELA MARIA PAIVA CRUZ,NA
VALÉRIO ROHDEN,NA
CLÁUDIO GONÇALVES DE ALMEIDA,NA
REINHOLDO ALOYSIO ULLMANN,NA
CARMEN SEGURA PERAITA,Female
SINESIO FERRAZ BUENO,Male
DOUGLAS GARCIA ALVES JUNIOR,Male
DENILSON LUIS WERLE,Male
PLINIO JUNQUEIRA SMITH,Male
ALAIN GROSRICHARD,Male
MICHAELLA CARLA LAURINDO,Female
MIRIAM CAMPOLINA DINIZ PEIXOTO,Female
EDSON PEIXOTO DE RESENDE FILHO,Male
MARIA DA PENHA FELICIO DOS SANTOS DE CARVALHO,Female
FLÁVIO BENO SIEBENEICHLER,NA
JOSÉ NICOLAO JULIÃO,NA
JORGE LUIZ ROCHA DE VASCONCELLOS,Male
PAULO GUILHERME DOMENECH ONETO,Male
MARCO VANZULLI,Male
BALTHAZAR BARBOSA FILHO,Male
CAMILLE RIQUIER,Female
SAULO DE FREITAS ARAUJO,Male
MARISA CARNEIRO DE OLIVEIRA FRANCO DONATELLI,Female
JÚLIO CELSO RIBEIRO DE VASCONCELOS,NA
PAULO TADEU DA SILVA,Male
ERICO ANDRADE MARQUES DE OLIVEIRA,Male
MARCO ANTÔNIO DE ÁVILA ZINGANO,Male
IRACEMA MARIA DE MACEDO GONCALVES DA SILVA,Female
JOAO MIGUEL BISCAIA VALADAS BRANQUINHO,Male
TARCÍSIO HAROLDO CAVALCANTE PEQUENO,NA
MÁRCIO PETROCELLI PAIXÃO,NA
HENRIQUE GRACIANO MURACHCO,Male
EDUARDO RAMALHO RABENHORST,Male
HELENO CESARINO,Male
NÉLIO VIEIRA DE MELO,NA
SÉRGIO RICARDO VIEIRA RAMOS,NA
INÁCIO REINALDO STRIEDER,NA
VERA ALVES CEPÊDA,Female
CARLOS ROBERTO VELHO CIRNE LIMA,Male
JOSÉ NEDEL,NA
SARA ALBIERI,Female
PERGENTINO STEFANO PIVATTO,Male
NYTHAMAR HILARIO FERNANDES DE OLIVEIRA JÚNIOR,NA
LUIS ALBERTO DE BONI,Male
ROGÉRIO FABIANNE SAUCEDO CORRÊA,NA
ELIANE ROBERT MORAES,Female
PEDRO DE MORAES REGO E FREITAS SANTOS,Male
FERNAO DE OLIVEIRA SALLES DOS SANTOS CRUZ,Male
MAURÍCIO PAGOTTO MARSOLA,NA
KAREL NOVOTNY,Male
GILSON MORAES MOTTA,Male
TANIA ALICE CAPLAIN FEIX,Female
CARLOS ALBERTO GOMES DOS SANTOS,Male
MARIO ANTONIO DE LACERDA GUERREIRO,Male
WALTER JOSÉ EVANGELISTA,Male
GIOVANNI CASERTANO,Male
SÉRGIO RICARDO NEVES DE MIRANDA,NA
DANIEL SOARES LINS,Male
JOÃO MARCOS DE ALMEIDA,NA
ANA THEREZA DE MIRANDA CORDEIRO DURMAIER,Female
ANASTÁCIO BORGES DE ARAÚJO JUNIOR,NA
ABRAHAO COSTA ANDRADE,Male
EMMANUEL CARNEIRO LEÃO,Male
FERNANDO JOSÉ DE SANTORO MOREIRA,Male
WILSON JOHN PESSOA MENDONÇA,Male
JUDITH POLSKY BAKER,Female
IAN HACKING,Male
JOSE ANTONIO DE CAMARGO RODRIGUES DE SOUZA,Male
ANA MIRIAM WUENSCH,Female
MARCIA ZEBINA ARAÚJO,Female
JOSE CARLOS AVELINO DA SILVA,Male
MAURICIO DE CARVALHO RAMOS,Male
EUNICE OSTRENSKY,Female
GREGORIO PIAIA,Male
HEINER F. KLEMME,Male
MARIA CANDIDA SOARES DEL MASSO CLAVISIO,Female
IRACEMA MARIA DE MACEDO GONÇALVES DA SILVA,Female
HELOISA MARIA MURGEL STARLING,Female
FELIX ALEJANDRO PIÑEIRO PASTOR,Male
FRANCISCO JAVIER HERRERO BOTIN,Male
LUZIA GONTIJO RODRIGUES,Female
BENTO PRADO DE ALMEIDA FERRAZ JUNIOR,Male
LUIGI BORDIN,Male
AQUILES CORTES GUIMARÃES,Male
ANDRÉ MARTINS VILAR DE CARVALHO,NA
MARIA DA GRACA FRANCO FERREIRA SCHALCHER,Female
SÉRGIO LUIZ DE CASTILHO FERNANDES,NA
GARIBALDI MONTEIRO SARMENTO,Male
CLAUDIA D'AMICO,Female
MARIO CAIMI,Male
EMANUEL ÂNGELO DA ROCHA FRAGOSO,Male
ZÉLIA MARIA DANTAS DE OLIVEIRA,NA
ROBERTO MARKENSON,Male
WALTEIR JOSÉ DA SILVA,Male
FRANCISCO ADEGILDO FÉRRER,Male
VERA LÚCIA CALDAS VIDAL,Female
JOSÉ MARIA ARRUDA DE SOUSA,NA
MIRTES MIRIAN AMORIM MACIEL,Female
ANTÔNIO COLAÇO MARTINS,NA
SYLVIA PEIXOTO LEÃO ALMEIDA,Female
KAREN FRANKLIN DA SILVA,Female
CELSO DE MORAES PINHEIRO,Male
EDUARDO DIATAY BEZERRA DE MENEZES,Male
FRANCISCO MANFREDO THOMAZ RAMOS,Male
GREGÓRIO PIAIA,NA
NELCI DO NASCIMENTO GONÇALVES,NA
LUIS CLÁUDIO PFEIL,Male
JOSE SILVEIRA DA COSTA,Male
UBIRATAN BORGES DE MACEDO,Male
VICENTE DE PAULO BARRETTO,Male
MARIA RAQUEL VIDIGAL MOVSCHOWITZ,Female
CLÁUDIO WILLIAM VELOSO,NA
SANDRA NEVES ABDO,Female
ANDRÉ JACQUES LOUIS ADRIEN BERTEN,NA
DANTE AUGUSTO GALEFFI,Male
JORGE LUIZ BEZERRA NÓVOA,Male
JOSÉ BENJAMIM PICADO SOUSA E SILVA,NA
NAOMAR MONTEIRO DE ALMEIDA FILHO,NA
MICHEL HENRI LUCIEN GEORGES PATY,Male
HUGH MATTHEW LACEY,Male
OSMYR FARIA GABBI JÚNIOR,NA
JOSÉ CARLOS PINTO DE OLIVEIRA,NA
FATIMA REGINA RODRIGUES ÉVORA,Female
YARA ADÁRIO FRATESCHI,Female
MARIA SYLVIA DE CARVALHO FRANCO,Female
BENTO PRADO DE ALMEIDA FERRAZ JÚNIOR,Male
THAIS CURI BEAINI,Female
BENEDITO ELISEU LEITE CINTRA,Male
PAULO EDUARDO DE OLIVEIRA,Male
ANITA HELENA SCHLESENER,Female
NATALIA MARUYAMA ROUGIER,Female
ANDRÉ THEODOR FUHRMANN,NA
ERNESTO MARIA GIUSTI,Male
ISABEL MARIA FREDERICO RODRIGUES LOUREIRO,Female
MARIA DA GRACA C F E FERRAZ,Female
JOÃO FERNANDO MARAR,NA
LOURENÇO CHACON JURADO FILHO,Male
EDSON SEKEFF ZAMPRONHA,Male
SÉRGIO TOSI RODRIGUES,NA
JOEL PIMENTEL DE ULHOA,Male
JORDINO ASSIS DOS SANTOS MARQUES,Male
MARCIA ANGELITA TIBURI,Female
HUGH LACEY,Male
ADELSON ANTÔNIO DA SILVA SANTOS,Male
MATHIAS KAUFMANN,Male
WILTON BARROSO FILHO,Male
CLÁUDIO ARAÚJO REIS,NA
HANS GEORG FLICKINGER,Male
JOSÉ HENRIQUE SANTOS,NA
MARIA THERESA VAZ CALVET DE MAGALHÃES,Female
ALBERTO ALONSO MUÑOZ,Male
JOAO CARLOS KFOURI QUARTIM DE MORAES,Male
MARCOS LUTZ MULLER,Male
JOSE OSCAR DE ALMEIDA MARQUES,Male
DONALDO SCHÜLER,Male
ALEJANDRO SERRANO CALDERA,Male
MARCELO DASCAL,Male
VARDA DASCAL,Female
ROLF PETER HORSTMAN,Male
MARIA LUISA RIBEIRO FERREIRA,Female
LUIZ MANOEL LOPES,Male
NELSON JOSE DE SOUZA JUNIOR,Male
LUIS EDUARDO RAMOS DE SOUZA,Male
ALMIR FERREIRA DA SILVA JUNIOR,Male
WELLISTANY CARVALHO VIANA,NA
GUSTAVO SILVANO BATISTA,Male
EDNA MARIA MAGALHAES DO NASCIMENTO,Female
GERSON ALBUQUERQUE DE ARAUJO NETO,Male
ALDIR ARAUJO CARVALHO FILHO,Male
ELNORA MARIA GONDIM MACHADO LIMA,Female
ANDRE LECLERC,Male
LUIS FILIPE ESTEVINHA LOURENCO RODRIGUES,Male
ODILIO ALVES AGUIAR,Male
JOSE CARLOS SILVA DE ALMEIDA,Male
ATILA AMARAL BRILHANTE,NA
IVANHOE ALBUQUERQUE LEAL,Male
HUGO FILGUEIRAS DE ARAUJO,Male
MANFREDO ARAUJO DE OLIVEIRA,Male
JOSE GABRIEL TRINDADE SANTOS,Male
CUSTODIO LUIS SILVA DE ALMEIDA,Male
CICERO ANTONIO CAVALCANTE BARROSO,Male
JOSE ROMULO SOARES,Male
FRANCISCO JOSE SOARES TEIXEIRA,Male
JOAO EMILIANO FORTALEZA DE AQUINO,Male
JOSE EXPEDITO PASSOS LIMA,Male
ESTENIO ERICSON BOTELHO DE AZEVEDO,Male
JOSE EDUARDO DE ALMEIDA MOURA,Male
ALIPIO DE SOUSA FILHO,Male
ANTONIO BASILIO NOVAES THOMAZ DE MENEZES,Male
JORDI CARMONA HURTADO,Male
JOEL THIAGO KLEIN,Male
FRODE BJORDAL,NA
ENOQUE FEITOSA SOBREIRA FILHO,Male
ANDERSON DARC FERREIRA,Male
RODRIGO SILVA ROSAL DE ARAUJO,Male
MARIA CLARA CESCATO,Female
MARCONI JOSE PIMENTEL PEQUENO,Male
MARIA SIMONE MARINHO NOGUEIRA,Female
ANA LEDA DE ARAUJO,Female
FERNANDO JADER DE MAGALHAES MELO,Male
THOMAZ MASSADI KAWAUCHE,Male
WILLIAM DE SIQUEIRA PIAUI,Male
RODRIGO PINTO DE BRITO,Male
MARIA DAS GRACAS DE SOUZA,Female
JOAO CARLOS SALLES PIRES DA SILVA,Male
SILVIA FAUSTINO DE ASSIS SAES,Female
MONCLAR EDUARDO GOES DE LIMA VALVERDE,Male
ROSA GABRIELLA DE CASTRO GONCALVES,Female
WALDOMIRO JOSE DA SILVA FILHO,Male
JOSE LOURENCO ARAUJO LEITE,Male
JOSE CRISOSTOMO DE SOUZA,Male
ARTHUR OCTAVIO DE MELO ARAUJO,Male
JOSE PEDRO LUCHI,Male
RICARDO CORREA DE ARAUJO,Male
CLAUDIA PEREIRA DO CARMO MURTA,Female
ANTONIO VIDAL NUNES,Male
FABIO PERIN SHECAIRA,Male
FRANCISCO JOSE DIAS DE MORAES,Male
EDUARDO RIBEIRO MOREIRA,Male
ADMAR ALMEIDA DA COSTA,Male
CARLOS DIOGENES CORTES TOURINHO,Male
PEDRO DUARTE DE ANDRADE,Male
FERNANDO DECIO PORTO MUNIZ,Male
CLAUDIO OLIVEIRA DA SILVA,Male
PEDRO SUSSEKIND VIVEIROS DE CASTRO,Male
ALEXANDRE DA SILVA COSTA,Male
MARCELO DE ARAUJO,Male
MARLY BULCAO LASSANCE BRITTO,Female
RICARDO JOSE CORREA BARBOSA,Male
MARCOS ANDRE GLEIZER,Male
IZABELA AQUINO BOCAYUVA,Female
ALEXANDRE MARQUES CABRAL,Male
LUIZ BERNARDO LEITE ARAUJO,Male
JOAO RICARDO CARNEIRO MODERNO,Male
MARCIA CRISTINA FERREIRA GONCALVES,Female
JAMES BASTOS AREAS,Male
LUISA SEVERO BUARQUE DE HOLANDA,Female
EDGARD JOSE JORGE FILHO,Male
RODRIGO GUIMARAES NUNES,Male
DEBORAH DANOWSKI,Female
MAURA IGLESIAS,Female
KATIA RODRIGUES MURICY,Female
TULIO ROBERTO XAVIER DE AGUIAR,Male
JOSE RAIMUNDO MAIA NETO,Male
LEONARDO DE MELLO RIBEIRO,Male
ROGERIO ANTONIO LOPES,Male
JACYNTHO JOSE LINS BRANDAO,NA
JOAOSINHO BECKENKAMP,Male
ABILIO AZAMBUJA RODRIGUES FILHO,Male
RODRIGO ANTONIO DE PAIVA DUARTE,Male
LIVIA MARA GUIMARAES,Female
MARCOS CESAR SENEDA,Male
JOSE BENEDITO DE ALMEIDA JUNIOR,Male
ALEXANDRE GUIMARAES TADEU DE SOARES,Male
MARIA SOCORRO RAMOS MILITAO,Female
SERTORIO DE AMORIM E SILVA NETO,Male
IMACULADA MARIA GUIMARAES KANGUSSU,Female
JOSE LUIZ FURTADO,Male
OLIMPIO JOSE PIMENTA NETO,Male
BRUNO ALMEIDA GUIMARAES,Male
RAINER CAMARA PATRIOTA,Male
HELIO LOPES DA SILVA,Male
CINTIA VIEIRA DA SILVA,Female
EMILIO CARLOS ROSCOE MACIEL,Male
FLAVIO AUGUSTO SENRA RIBEIRO,Male
DELMAR ARAUJO CARDOSO,Male
CLAUDIA MARIA ROCHA DE OLIVEIRA,Female
MASSIMO PAMPALONI,Male
ALVARO MENDONCA PIMENTEL,Male
JOAO BATISTA LIBANIO,Male
JOAO AUGUSTO ANCHIETA AMAZONAS MAC DOWELL,Male
JOSE EDUARDO MARQUES BAIONI,Male
ALEXANDRE GUILHERME BARROSO DE MATOS FRANCO DE SA,Male
LUIS FERNANDES DOS SANTOS NASCIMENTO,Male
DEBORA CRISTINA MORATO PINTO,Female
JOAO DE FERNANDES TEIXEIRA,Male
JULIO CESAR COELHO DE ROSE,Male
ANA CAROLINA SOLIVA SORIA,Female
JOSE ANTONIO DAMASIO ABIB,Male
ANDREA MARIA ALTINO DE CAMPOS LOPARIC,Female
MARCOS BARBOSA DE OLIVEIRA,Male
VALTER ALNIS BEZERRA,Male
MARIA LUCIA MELLO E OLIVEIRA CACCIOLA,Female
PABLO RUBEN MARICONDA,Male
JOSE CARLOS ESTEVAO,Male
MARCO AURELIO WERLE,Male
JOSE ARTHUR GIANNOTTI,Male
LUIS CESAR GUIMARAES OLIVA,Male
SERGIO CARDOSO,Male
ALBERTO RIBEIRO GONCALVES DE BARROS,Male
MARIO MIRANDA FILHO,Male
MARCIO SUZUKI,Male
EDELCIO GONCALVES DE SOUZA,Male
LUIZ SERGIO REPA,Male
OLGARIA CHAIN FERES MATOS,NA
JOAO VERGILIO GALLERANI CUTER,Male
JAIRO JOSE DA SILVA,Male
ALCIDES HECTOR RODRIGUEZ BENDIT,Male
TAISA HELENA PASCALE PALHARES,Female
FÁTIMA REGINA RODRIGUES EVORA,NA
MARCIO AUGUSTO DAMIN CUSTODIO,Male
JEZIO HERNANI BOMFIM GUTIERRE,Male
MARCIO BENCHIMOL BARROS,Male
JONAS GONCALVES COELHO,Male
MARCOS ANTONIO ALVES,Male
KLEBER CECON,Male
HERCULES DE ARAUJO FEITOSA,Male
LUCIO LOURENCO PRADO,Male
MARIA CONSTANCA PERES PISSARRA,Female
YOLANDA GLORIA GAMBOA MUNOZ,Female
MARIO ARIEL GONZALEZ PORTA,Male
ANTONIO JOSE ROMERA VALVERDE,Male
PETER PAL PELBART,Male
MARCIO ALVES DA FONSECA,Male
RITA DE CASSIA SOUZA PAIVA,Female
LUCIANNO FERREIRA GATTI,Male
EDSON LUIS DE ALMEIDA TELES,Male
CECILIA CINTRA CAVALEIRO DE MACEDO,Female
RODNEI ANTONIO DO NASCIMENTO,Male
CRISTINA DE SOUZA AGOSTINI,Female
TOMAS MENDONCA DA SILVA PRADO,Male
REGINA ANDRE REBOLLO,Female
HELIO SALLES GENTIL,Male
CELI HIRATA,Female
CARLOS EDUARDO UCHOA FAGUNDES JUNIOR,Male
JOSE CARLOS BRUNI,Male
MARIA ISABEL DE MAGALHAES PAPATERRA LIMONGI,Female
RODRIGO BRANDAO,Male
JOSE FERNANDES WEBER,Male
CLAUS LANGBEHN,Male
AGUINALDO ANTONIO CAVALHEIRO PAVAO,Male
ANDREA LUISA BUCCHILE FAGGION,Female
MARIA CRISTINA MULLER,Female
AMERICO GRISOTTO,Male
ROGERIO MIRANDA DE ALMEIDA,Male
WAGNER DALLA COSTA FELIX,Male
PATRICIA CORADIM SITA,Female
JOSE ANTONIO MARTINS,Male
MATEUS RICARDO FERNANDES FERREIRA,Male
MAX ROGERIO VICENTINI,Male
JOSE BELUCI CAPORALINI,Male
CESAR AUGUSTO BATTISTI,Male
GILMAR HENRIQUE DA CONCEICAO,Male
JOSE LUIZ AMES,Male
TARCILIO CIOTTA,Male
AYLTON BARBIERI DURAO,Male
JOAO EDUARDO PINTO BASTO LUPI,Male
SELVINO JOSE ASSMANN,Male
DECIO KRAUSE,Male
JONAS RAFAEL BECKER ARENHART,Male
MARTA RIOS ALVES NUNES DA COSTA,Female
CLAUDIA PELLEGRINI DRUCKER,Female
LUIZ HENRIQUE DE ARAUJO DUTRA,Male
ULISSES RAZZANTE VACCARI,Male
ANTONIO MARIANO NOGUEIRA COELHO,Male
GISELE DALVA SECCO,Female
FELIPE GONCALVES SILVA,Male
JOAO CARLOS BRUM TORRES,Male
JONADAS TECHIO,Male
ANDRE NILO KLAUDAT,Male
PAULO BAPTISTA CARUSO MACDONALD,Male
ROGERIO FABIANNE SAUCEDO CORREA,Male
JANYNE SATTLER,Female
CESAR SCHIRMER DOS SANTOS,Male
ROGERIO PASSOS SEVERO,Male
RENATO DUARTE FONSECA,Male
ROBSON RAMOS DOS REIS,Male
JOSE LOURENCO PEREIRA DA SILVA,Male
CLADEMIR LUIS ARALDI,Male
JOAO FRANCISCO NASCIMENTO HOBUSS,Male
FLAVIA CARVALHO CHAGAS,Female
CLAUDIO ROBERTO COGO LEIVAS,Male
MANOEL LUIS CARDOSO VASCONCELLOS,Male
FELIPE DE MATOS MULLER,Male
KATIA MARTINS ETCHEVERRY,Female
CLAUDIO GONCALVES DE ALMEIDA,Male
INACIO HELFER,Male
SOFIA INES ALBORNOZ STEIN,Female
CELSO CANDIDO DE AZAMBUJA,Male
CASTOR MARI MARTIN BARTOLOME RUIZ,Male
PAULO CESAR NODARI,Male
ANDRE BRAYNER DE FARIAS,Male
JOSE CARLOS KOCHE,Male
IDALGO JOSE SANGALLI,Male
EVALDO ANTONIO KUIAVA,Male
THIAGO SUMAN SANTORO,Male
ADRIANA DELBO LOPES,Female
ANDRE DA SILVA PORTO,Male
JOSE TERNES,Male
JOSE GONZALO ARMIJOS PALACIOS,Male
FABIO FERREIRA DE ALMEIDA,Male
CARLA MILANI DAMIAO,Female
SAMUEL JOSE SIMON RODRIGUES,Male
LORAINE DE FATIMA OLIVEIRA,Female
CLAUDIO ARAUJO REIS,Male
MARCOS AURELIO FERNANDES,Male
NELSON GONCALVES GOMES,Male
LUCA JEAN PITTELOUD,Male
WELLINGTON LIMA AMORIM,Male
URSULA ANNE MATTHIAS,Female
JOELMA MARQUES DE CARVALHO,Female
GUSTAVO BEZERRA DO NASCIMENTO COSTA,Male
DAX FONSECA MORAES PAES NASCIMENTO,Male
MARCELO DE SANTANNA ALVES PRIMO,Male
ARTHUR EDUARDO GRUPILLO CHAGAS,Male
CARLA RODRIGUES,Female
MARIANA DE ALMEIDA CAMPOS,Female
LEANDRO PINHEIRO CHEVITARESE,Male
AFFONSO HENRIQUE VIEIRA DA COSTA,Male
PEDRO HUSSAK VAN VELTHEN RAMOS,Male
EDUARDO GOMES DE SIQUEIRA,Male
RENATO NOGUEIRA DOS SANTOS JUNIOR,Male
JOSE NICOLAO JULIAO,Male
RENATO VALOIS CORDEIRO,Male
WALTER VALDEVINO OLIVEIRA SILVA,Male
ALESSANDRO BANDEIRA DUARTE,Male
CRISTIANE ALMEIDA DE AZEVEDO,Female
DIOGO DE FRANCA GURGEL,Male
ANDRE CONSTANTINO YAZBEK,Male
FEDERICO SANGUINETTI,Male
NILO RIBEIRO JUNIOR,Male
BRUNO BATISTA PETTERSEN,Male
MONICA LOYOLA STIVAL,Female
SILVANA DE SOUZA RAMOS,Female
MARIANA MATULOVIC DA SILVA,Female
LUIGI CARANTI,Male
RONEI CLECIO MOCELLIN,Male
OLIVIER MARTIN LOUIS ALBERT RENE FERON,Male
FEDERICO FERRAGUTO,Male
EVANDRO LUIS GOMES,Male
ROBERTO SARAIVA KAHLMEYER MERTENS,Male
FABRICIO PONTIN,Male
