NM_DOCENTE,GENERO
CARLOS AUGUSTO SARTORI,Male
JAIR ANTONIO KRASSUSKI,Male
WERNER LUDWIG EULER,Male
MARCO ANTÔNIO FRANCIOTTI,Male
KATHRIN LERRER ROSENFIELD,Female
INARA ZANUZZI,Female
EROS MOREIRA DE CARVALHO,Male
RAPHAEL ZILLIG,Male
PRISCILLA TESCH SPINELLI,Female
WLADIMIR BARRETO LISBOA,Male
JAIME PARERA REBELLO,Male
PAULO FRANCISCO ESTRELLA FARIA,Male
NELSON FERNANDO BOEIRA,Male
JOSE ALEXANDRE DURRY GUERZONI,Male
JÔNADAS TECHIO,NA
SILVIA ALTMANN,Female
FERNANDO PIO DE ALMEIDA FLECK,Male
GERSON LUIZ LOUZADO,Male
ALFREDO CARLOS STORCK,Male
JOSE PINHEIRO PERTILLE,Male
LIA LEVY,Female
DENIS LERRER ROSENFIELD,Male
ANDRÉ NILO KLAUDAT,NA
NEWTON CARNEIRO AFFONSO DA COSTA,Male
JAIMIR CONTE,Male
REMI SCHORN,Male
ESTER MARIA DREHER HEUSER,Female
TARCÍLIO CIOTTA,NA
MARCELO DO AMARAL PENNA FORTE,Male
WILSON ANTONIO FREZZATTI JUNIOR,Male
ALEXANDRE MEYER LUZ,Male
MILENE CONSENSO TONETTO,Female
LUCIANO CARLOS UTTEICH,Male
CLAUDINEI APARECIDO DE FREITAS DA SILVA,Male
ROSALVO SCHUTZ,Male
ANTÔNIO MARIANO NOGUEIRA COELHO,NA
ROBERTO WU,Male
AYLTON BARBIERI DURÃO,Male
NAZARENO EDUARDO DE ALMEIDA,Male
DENILSON LUÍS WERLE,Male
ALBERTO MARCOS ONATE,Male
CÉSAR AUGUSTO BATTISTI,NA
VIVIANNE DE CASTILHO MOREIRA,Female
EDUARDO SALLES DE OLIVEIRA BARRA,Male
LUIZ DAMON SANTOS MOUTINHO,Male
VINICIUS BERLENDIS DE FIGUEIREDO,Male
ZELJKO LOPARIC,NA
HORACIO LUJAN MARTINEZ,Male
JORGE LUIZ VIESENTEINER,Male
JELSON ROBERTO DE OLIVEIRA,Male
KLEBER BEZ BIROLO CANDIOTTO,Male
ERICSON SAVIO FALABRETTI,Male
HENRY MARTIN BURNETT JUNIOR,Male
MARIA CRISTINA MÜLLER,Female
CHARLES FELDHAUS,Male
JOSÉ ANTÔNIO MARTINS,NA
CARLO GABRIEL KSZAN PANCERA,Male
GILMAR HENRIQUE DA CONCEIÇÃO,Male
MARCOS ALEXANDRE GOMES NALLI,Male
EDER SOARES SANTOS,Male
LOURENÇO ZANCANARO,Male
CLODOMIRO JOSE BANNWART JUNIOR,Male
AGUINALDO ANTONIO CAVALHEIRO PAVÃO,Male
MARCOS RODRIGUES DA SILVA,Male
MIRIAN DONAT,Female
JOSÉ MARIO ANGELI,NA
SERGIO TISKI,Male
PAULO RICARDO MARTINES,Male
JOSÉ BELUCI CAPORALINI,NA
ANDRÉA LUISA BUCCHILE FAGGION,NA
JOSÉ FERNANDES WEBER,NA
MAX ROGÉRIO VICENTINI,Male
CRISTIANO PERIUS,Male
PATRÍCIA CORADIM SITA,NA
VLADIMIR CHAVES DOS SANTOS,Male
JOSÉ ANTONIO MARTINS,NA
ARLEI DE ESPINDOLA,Male
ROBESPIERRE DE OLIVEIRA,Male
WAGNER DALLA COSTA FÉLIX,Male
VOLNEY EDSON DOS SANTOS,Male
GELSON LISTON,Male
ELVE MIGUEL CENCI,Male
MARCOS CÉSAR ALVAREZ,Male
HÉLIO REBELLO CARDOSO JUNIOR,NA
CESAR CANDIOTTO,Male
LEON KOSSOVITCH,Male
PEDRO MONTICELLI,Male
