NM_DOCENTE,GENERO
Claudinei Aparecido De Freitas Da Silva,Homem
Rosalvo Schutz,Homem
Antônio Mariano Nogueira Coelho,Homem
Roberto Wu,Homem
Aylton Barbieri Durão,Homem
Nazareno Eduardo De Almeida,Homem
Denilson Luís Werle,Homem
Alberto Marcos Onate,Homem
César Augusto Battisti,Homem
Vivianne De Castilho Moreira,Mulher
Eduardo Salles De Oliveira Barra,Homem
Luiz Damon Santos Moutinho,Homem
Vinicius Berlendis De Figueiredo,Homem
Zeljko Loparic,Homem
Horacio Lujan Martinez,Homem
Jorge Luiz Viesenteiner,Homem
Jelson Roberto De Oliveira,Homem
Kleber Bez Birolo Candiotto,Homem
Ericson Savio Falabretti,Homem
Henry Martin Burnett Junior,Homem
Maria Cristina Müller,Mulher
Charles Feldhaus,Homem
José Antônio Martins,Homem
Carlo Gabriel Kszan Pancera,Homem
Gilmar Henrique Da Conceição,Homem
Marcos Alexandre Gomes Nalli,Homem
Eder Soares Santos,Homem
Lourenço Zancanaro,Homem
Clodomiro Jose Bannwart Junior,Homem
Aguinaldo Antonio Cavalheiro Pavão,Homem
Marcos Rodrigues Da Silva,Homem
Mirian Donat,Mulher
José Mario Angeli,Homem
Sergio Tiski,Homem
Paulo Ricardo Martines,Homem
José Beluci Caporalini,Homem
Andréa Luisa Bucchile Faggion,Mulher
José Fernandes Weber,Homem
Max Rogério Vicentini,Homem
Cristiano Perius,Homem
Patrícia Coradim Sita,Mulher
Vladimir Chaves Dos Santos,Homem
José Antonio Martins,Homem
Arlei De Espindola,Homem
Robespierre De Oliveira,Homem
Wagner Dalla Costa Félix,Homem
Volney Edson Dos Santos,Homem
Gelson Liston,Homem
Elve Miguel Cenci,Homem
Marcos César Alvarez,Homem
Hélio Rebello Cardoso Junior,Homem
Cesar Candiotto,Homem
Leon Kossovitch,Homem
Pedro Monticelli,Homem
Tiago Fonseca Falkenbach,Homem
Leandro Neves Cardim,Homem
Rodrigo Brandão,Homem
Alexandre Noronha Machado,Homem
Maria Adriana Camargo Cappello,Mulher
Breno Hax Junior,Homem
Paulo Vieira Neto,Homem
Luiz Antonio Alves Eva,Homem
Andre De Macedo Duarte,Homem
Maria Isabel De Magalhães Papaterra Limongi,Mulher
Luiz Sérgio Repa,Homem
Lucio Souza Lobo,Homem
Marco Antonio Valentim,Homem
Walter Romero Menon Junior,Homem
Edelcio Gonçalves De Souza,Homem
Joel Gracioso,Homem
Djalma Medeiros,Homem
Rachel Gazolla De Andrade,Mulher
Carlos Eduardo Uchôa Fagundes Junior,Homem
José Carlos Bruni,Homem
Carlos Arthur Ribeiro Do Nascimento,Homem
Francisco Benjamin De Souza Netto,Homem
Maria Carolina Alves Dos Santos,Mulher
Franklin Leopoldo E Silva,Homem
Hélio Salles Gentil,Homem
Gilberto Tedeia,Homem
Marilia Mello Pisani,Mulher
Monique Hulshof,Mulher
Floriano Jonas Cesar,Homem
Paulo Henrique Fernandes Silveira,Homem
